,count,mean,std,min,25%,50%,75%,max
label,161299.0,0.04398663351911667,0.20506601449187362,0.0,0.0,0.0,0.0,1.0
ImageLaterality,161299.0,0.5011314391285748,0.5000002697637125,0.0,0.0,1.0,1.0,1.0
PatientAge,161299.0,51.83967094236996,11.663760986715396,8.666666666666666,43.25,51.75,60.0,80.08333333333333
Manufacturer,161299.0,0.14046584293764997,0.4974264846615613,0.0,0.0,0.0,0.0,5.0
ManufacturerModelName,161299.0,19.698132040496223,5.594877069822613,0.0,19.0,22.0,22.0,28.0
DistanceSourceToDetector,161299.0,660.2132685261533,2.9129555760390646,660.0,660.0,660.0,660.0,700.0
DistanceSourceToPatient,161299.0,658.2327292791648,6.287931961754099,568.0,660.0,660.0,660.0,660.0
ExposureTime,161299.0,883.4030155177652,312.03745350330695,84.0,707.0,876.0,1041.0,5399.0
XRayTubeCurrent,161299.0,70.11040985994954,17.015046354482536,28.0,61.0,62.0,62.0,200.0
Exposure,161299.0,60.25889187161731,21.473749337037567,8.0,47.0,56.0,67.0,335.0
ExposureInuAs,161299.0,60254.211098642896,21463.967717205393,8000.0,47400.0,56100.0,67100.0,334800.0
KVP,161299.0,29.053670512526427,1.305764282764591,22.0,29.0,29.0,30.0,43.0
BodyPartThickness,161299.0,57.95335990923688,14.224458036391987,8.0,48.0,58.0,67.0,130.0
CompressionForce,161299.0,65.6434655958202,24.99245863940106,0.0,50.0,70.0,80.0,260.0
PositionerPrimaryAngle,161299.0,0.10972975653903619,34.642309501842135,-78.0,0.0,0.0,2.0,74.0
ViewPosition,161299.0,0.49061060514944294,0.5009664045382497,0.0,0.0,0.0,1.0,3.0
DetectorTemperature,161299.0,30.591125986752587,1.2016191457055252,21.096328735352,29.884431838989,30.394599914551,30.734712600708,43.148811340332
DetectorType,161299.0,0.9185301830761505,0.27355611817974884,0.0,1.0,1.0,1.0,1.0
Rows,161299.0,2783.3542427417406,474.70718304301033,2294.0,2294.0,3062.0,3062.0,4096.0
Columns,161299.0,2231.9058890631686,333.7820743505151,1890.0,1914.0,2394.0,2394.0,3328.0
score,161299.0,0.20907598468676947,0.20494223586400445,0.00047455233288928866,0.060571933165192604,0.13388697803020477,0.28854207694530487,0.9999521970748901
target_label,161299.0,0.8975071141172605,0.30329633120960303,0.0,1.0,1.0,1.0,1.0
coords1,161299.0,978.7255345662403,677.1113472051039,0.0,348.0,1004.0,1549.0,3244.0
coords2,161299.0,1268.5973192642236,456.26774098848085,0.0,955.0,1246.0,1556.0,3907.0
coords3,161299.0,1262.314707468738,685.7112606981657,25.0,644.0,1287.0,1840.0,3327.0
coords4,161299.0,1539.8023112356555,472.29219977273,84.0,1219.0,1520.0,1842.0,4095.0
resized_coords1,161299.0,111.74378018462606,76.1011145687336,0.0,40.0,113.0,181.0,249.0
resized_coords2,161299.0,116.37685912497908,37.57745800674151,0.0,90.0,116.0,143.0,251.0
resized_coords3,161299.0,144.26886093528168,75.94010737201309,3.0,75.0,144.0,216.0,255.0
resized_coords4,161299.0,141.45165190112772,37.418929607807186,9.0,115.0,142.0,168.0,255.0
FieldOfViewOrigin1,161299.0,104.37130422383275,176.33267647780755,0.0,5.0,5.0,377.0,773.0
FieldOfViewOrigin2,161299.0,50.57677356958196,199.1986288288413,1.0,1.0,1.0,1.0,1024.0
WindowCenter1,161299.0,2714.4739583010432,298.10670223596406,373.0,2599.0,2761.0,2893.0,4039.0
WindowCenter2,161299.0,2585.8901853080306,797.1863320436446,0.0,2641.0,2797.0,2929.0,4051.0
WindowCenter3,161299.0,2494.9173460467828,770.5734797499472,0.0,2539.0,2701.0,2833.0,4021.0
WindowCenter4,161299.0,8.90824493642242,160.11748033627663,0.0,0.0,0.0,0.0,4094.0
WindowWidth1,161299.0,1154.327404385644,865.9984865611337,580.0,900.0,900.0,900.0,4096.0
